제품명,성분명,코드
비노스토발포정(알렌드론산나트륨삼수화물),알렌드론산나트륨삼수화물,K-037589
콤비글라이즈서방정 5/1000mg,메트포르민염산염|삭사글립틴수화물,K-029534
아목클란듀오정 500mg,아목시실린수화물|묽은클라불란산칼륨,K-015270
케프라엑스알서방정 500mg,레비티라세탐,K-040531
도베인정 500mg,도베실산칼슘수화물,K-041153
직듀오서방정 10/500mg,메트포르민염산염|다파글리플로진프로판디올수화물,K-036625
케프라정 1000mg,레비티라세탐,K-012503
펜타사서방정 1g,메살라진,K-029962
파루탈정(메드록시프로게스테론아세테이트),메드록시프로게스테론아세테이트,K-003945
글루파정 850mg,메트포르민염산염,K-010610
마도파정,레보도파|염산벤세라짓,K-020014
비리어드정(테노포비르디소프록실푸마르산염),테노포비르디소프록실푸마르산염,K-027602
케프라엑스알서방정 750mg,레비티라세탐,K-040530
콤비글라이즈서방정 5/500mg,메트포르민염산염|삭사글립틴수화물,K-029533
메가폴민서방정(메트포르민염산염),메트포르민염산염,K-017517
텔로스톱플러스정 80/5/5mg,텔미사르탄|암로디핀베실산염|로수바스타틴칼슘,K-043814
조이렉스정(아시클로버)(수출명:HerpexTabs.200mgZoylinTabs.),아시클로버,K-002753
안플라그서방정 300mg,사르포그렐레이트염산염,K-047218
튜비스정,리팜피신|이소니아지드|피라진아미드|에탐부톨염산염,K-030008
트라젠타듀오정 2.5/1000mg,리나글립틴|메트포르민염산염,K-030309
크라모틴정(아목시실린·클라불란산칼륨(2:1)),아목시실린수화물|묽은클라불란산칼륨,K-009429
유한폰탈정 500mg,메페남산,K-004550
멀택정(드로네다론염산염),드로네다론염산염,K-027179
포스레놀정 500mg,탄산란탄,K-018969
마이렙트정 500mg,미코페놀레이트모페틸,K-027737
싸이신정 500mg,시프로플록사신염산염,K-002944
동아가바펜틴정 800mg,가바펜틴,K-016551
크라맥스정 375mg,아목시실린수화물|묽은클라불란산칼륨,K-004578
쎄로켈서방정 400mg,쿠에티아핀푸마르산염,K-022703
아마릴-멕스서방정 2/500mg,메트포르민염산염|글리메피리드,K-023740
스타레보필름코팅정 200/50/200mg,엔타카폰|레보도파|카르비도파수화물,K-023835
란스톤엘에프디티정 30mg,란소프라졸,K-018110
다이아벡스엑스알서방정(메트포르민염산염),메트포르민염산염,K-018254
이트라정 100mg,이트라코나졸,K-009460
리피논정 80mg,무수아토르바스타틴칼슘,K-024631
테노리드정(테노포비르디소프록실),테노포비르디소프록실,K-042226
트윈스타정 80/5mg,텔미사르탄|암로디핀베실산염,K-027735
리피딜슈프라정(페노피브레이트),페노피브레이트,K-013937
자누메트엑스알서방정 100/1000mg,메트포르민염산염|시타글립틴인산염수화물,K-031885
자디앙듀오정 12.5/850mg,엠파글리플로진|메트포르민염산염,K-038186
자디앙듀오정 5/850mg,엠파글리플로진|메트포르민염산염,K-038183
아사콜디알정1600mg/PTP,메살라진,K-053132
인벨라정(세벨라머탄산염),세벨라머탄산염,K-035837
나프메드정 500/20mg,에스오메프라졸|나프록센,K-033465
유로시트라케이10mEq서방정(시트르산칼륨수화물),시트르산칼륨수화물,K-018757
듀오웰정 80/10mg,텔미사르탄|로수바스타틴칼슘,K-034568
후시딘정(퓨시드산나트륨),퓨시드산나트륨,K-000400
유나신정 375mg,설타미실린토실산염수화물,K-011274
자디앙듀오정 12.5/1000mg,엠파글리플로진|메트포르민염산염,K-038187
디스토시드정(프라지콴텔정)군납명:프라지콴텔정,프라지콴텔,K-000913
울트라셋이알서방정,아세트아미노펜|트라마돌염산염,K-027926
트라젠타듀오정 2.5/850mg,리나글립틴|메트포르민염산염,K-030308
아목시클정(아목시실린수화물·클라불란산칼륨(7:1)),아목시실린수화물|희석클라불란산칼륨,K-011833
하이세펜정,아세트아미노펜|트라마돌염산염,K-023729
사브릴정 500mg,비가바트린,K-007022
칸데모어정 32mg,칸데사르탄실렉세틸,K-028010
케프라정 500mg,레비티라세탐,K-012502
레보펙신정 500mg,레보플록사신수화물,K-020769
오르필서방정 600mg,발프로산나트륨,K-007947
울트라스크정,아세트아미노펜|트라마돌염산염,K-023612
세비보정(텔비부딘),텔비부딘,K-020006
네오메디코푸정,디히드로코데인타르타르산염|클로르페니라민말레산염|dl-메틸에페드린염산염|카페인무수물,K-000438
에란탄지속정 60mg,이소소르비드5모노니트레이트90%,K-016302
다이아벡스정 1000mg,메트포르민염산염,K-012767
리리카CR서방정 330mg,프레가발린,K-044258
마이렙틱엔장용정 360mg,미코페놀레이트나트륨,K-040623
쎄로켈서방정 200mg,쿠에티아핀푸마르산염,K-022706
슈가메트서방정 2.5/850mg,메트포르민염산염|에보글립틴타르타르산염,K-038106
자누메트정 50/500mg,시타글립틴인산염수화물|메트포르민염산염,K-022712
일성이솦틴서방정 180mg,베라파밀염산염,K-005087
알레그라디정,펙소페나딘염산염|수도에페드린염산염,K-008901
실콘정(칼슘폴리카르보필),폴리카르보필칼슘,K-008223
쎄로켈서방정 300mg,쿠에티아핀푸마르산염,K-022704
마이폴틱장용정 360mg,미코페놀레이트나트륨,K-013828
자디앙듀오정 5/500mg,엠파글리플로진|메트포르민염산염,K-038182
올멕정 40mg,올메사탄메독소밀,K-028129
렌벨라정(세벨라머탄산염),세벨라머탄산염,K-028901
펙소스타정 80mg,페북소스타트,K-037666
직듀오서방정 10/1000mg,메트포르민염산염|다파글리플로진프로판디올수화물,K-036551
리피로우젯정10/20mg,아토르바스타틴칼슘|에제티미브,K-052958
클래리정 500mg,클래리트로마이신,K-010931
아토젯정 10/20mg,에제티미브|아토르바스타틴칼슘삼수화물,K-035205
테잘바이정 80/5mg,텔미사르탄|암로디핀베실산염,K-040671
아모잘탄플러스정 5/50/12.5mg,암로디핀캄실산염|클로르탈리돈|로사르탄칼륨,K-041949
로벨리토정 150/10mg,아토르바스타틴칼슘삼수화물|이르베사르탄,K-031918
레나메진캡슐(구형흡착탄),구형흡착탄,K-036480
자디앙듀오정 5/1000mg,엠파글리플로진|메트포르민염산염,K-038184
발시버정 500mg,발라시클로비르염산염1.5수화물,K-028052
동아가바펜틴정 600mg,가바펜틴,K-019299
씬지록신정 125mcg,레보티록신나트륨수화물,K-042262
시로판정(시프로플록사신염산염수화물),시프로플록사신염산염수화물,K-003137
아미썰정 400mg,아미설프리드,K-029200
휴트라돌정,아세트아미노펜|트라마돌염산염,K-022644
아모잘탄큐정5/50/10밀리그램,암로디핀캄실산염|로수바스타틴칼슘|로사르탄칼륨,K-042041
옥사제핀정 600mg,옥스카르바제핀,K-039815
조이렉스정 400mg,아시클로버,K-004669
아토젯정 10/80mg,에제티미브|아토르바스타틴칼슘삼수화물,K-035207
한올아푸록산정 300mg,프로글루메타신말레산염,K-003259
뉴바스트정 80mg,아토르바스타틴스트론튬오수화물,K-024981
트윈콤비정 40/5mg,텔미사르탄|암로디핀베실산염,K-040639
쎄로켈정 200mg,쿠에티아핀푸마르산염,K-010222
보령부스파정 15mg,부스피론염산염,K-026894
헬스피온서방정 150mg,부프로피온염산염,K-040317
로벨리토정 300/20mg,아토르바스타틴칼슘삼수화물|이르베사르탄,K-033025
넥시움정 40mg,에스오메프라졸마그네슘삼수화물,K-010224
듀미록스정 100mg,플루복사민말레이트,K-007646
자누메트정 50/850mg,시타글립틴인산염수화물|메트포르민염산염,K-025367
페브릭정 80mg,페북소스타트,K-025894
아미썰정 200mg,아미설프리드,K-030599
로벨리토정 300/10mg,아토르바스타틴칼슘삼수화물|이르베사르탄,K-033024
포리부틴서방정(트리메부틴말레산염),트리메부틴말레산염,K-003687
덱시드정 480mg,알티옥트산트로메타민염,K-032167
텔미원정 80mg,텔미사르탄,K-027840
쎄로켈서방정 150mg,쿠에티아핀푸마르산염,K-026715
글루코다운오알서방정 750mg,메트포르민염산염,K-023208
듀오웰정 40/10mg,텔미사르탄|로수바스타틴칼슘,K-034569
글리멜엠정 2/500mg,글리메피리드|메트포르민염산염,K-028828
치옥타시드에이취알정 600mg,티옥트산,K-054813
비모보정 500/20mg,나프록센|에스오메프라졸마그네슘삼수화물,K-029345
펜타사서방정 500mg,메살라진,K-006808
글리멜정 2mg,글리메피리드,K-012668
클래리시드엑스엘서방정 500mg,클래리트로마이신,K-008451
안플원서방정 300mg,사르포그렐레이트염산염,K-035209
딜라트렌에스알캡슐 64mg,카르베딜롤과립,K-027187
오구멘틴정 625mg,아목시실린ㆍ클라불란산칼륨,K-003361
데파코트서방정 500mg,디발프로엑스나트륨,K-012447
프라닥사캡슐 110mg,다비가트란에텍실레이트메실산염,K-028122
사이톱신정(시프로플록사신염산염),시프로플록사신염산염,K-002265
트렌탈서방정400(펜톡시필린),펜톡시필린,K-000658
테베텐정 600mg,에프로사르탄메실산염,K-011647
에스케이코스카플러스프로정,로사르탄칼륨|히드로클로로티아지드,K-026694
"글루파정 1,000mg",메트포르민염산염,K-010614
라본디캡슐,라록시펜염산염|콜레칼시페롤농축분말,K-041432
리리카CR서방정 165mg,프레가발린,K-044257
빔스크정 100mg,라코사미드,K-040343
비오라민정 72.2mg/PTP (수출용),토코페롤아세테이트 2배산|히드록소코발라민아세트산염|리보플라빈부티레이트|피리독살포스페이트수화물|푸르설티아민|직타용아스코르브산,K-004168
퍼킨정25-250mg,카르비도파수화물|레보도파,K-003727
대웅푸루나졸정 150mg,플루코나졸,K-018409
트라린정 100mg,설트랄린염산염,K-030091
리피논정 40mg,무수아토르바스타틴칼슘,K-021426
제미메트서방정 50/1000mg,제미글립틴타르타르산염1.5수화물|메트포르민염산염,K-034597
트리렙탈필름코팅정 300mg,옥스카르바제핀,K-010155
피레스코정 600mg,피르페니돈,K-044707
디아미크롱서방정 60mg,글리클라지드,K-027693
자누메트정 50/1000mg,시타글립틴인산염수화물|메트포르민염산염,K-022713
애니펜정 400mg,덱시부프로펜,K-044085
박사르정 6mg,라시디핀,K-018119
콘트라브서방정 90mg/병,부프로피온염산염|날트렉손염산염,K-038855
글리멜정 4mg,글리메피리드,K-023085
케프라정 250mg,레비티라세탐,K-012501
프리스틱서방정 50mg,데스벤라팍신숙신산염일수화물,K-032605
케피람정 1000mg,레비티라세탐,K-030239
투베로정30/5밀리그램,피마사르탄칼륨삼수화물과립|로수바스타틴칼슘,K-040336
투탑스플러스정 80/5/12.5mg,텔미사르탄|암로디핀베실산염|히드로클로로티아지드,K-042118
아모잘탄플러스정 5/100/12.5mg,암로디핀캄실산염|클로르탈리돈|로사르탄칼륨,K-041948
제미메트서방정 50/500mg,제미글립틴타르타르산염1.5수화물|메트포르민염산염,K-037578
케피람정 500mg,레비티라세탐,K-030242
코자르탄플러스에프정(비매품),로사르탄칼륨|히드로클로로티아지드,K-023838
글리틴정(콜린알포세레이트),콜린알포세레이트,K-033880
엘카틴정(아세틸엘카르니틴염산염),아세틸-L-카르니틴염산염,K-010411
에토르정10/40mg/Alu-Alu,에제티미브|아토르바스타틴칼슘삼수화물,K-059526
클자핀정 200mg,클로자핀,K-044852
팩티브정 320mg,제미플록사신메실산염,K-012187
아토젯정 10/40mg,에제티미브|아토르바스타틴칼슘삼수화물,K-035206
피레스파정 200mg,피르페니돈,K-029872
트라스펜정,트라마돌염산염|아세트아미노펜,K-023544
프로비질정 200mg,모다피닐,K-011481
씬지록신정 88mcg,레보티록신나트륨수화물,K-042340
에스케이코스카플러스에프정,로사르탄칼륨|히드로클로로티아지드,K-019700
미라펙스서방정 1.5mg,프라미펙솔염산염일수화물,K-027126
뉴론틴정 600mg,가바펜틴,K-019156
넥시움정 20mg,에스오메프라졸마그네슘삼수화물,K-010225
토비애즈서방정 8mg,페소테로딘푸마르산염,K-024753
파라마셋이알서방정,아세트아미노펜|트라마돌염산염,K-036163
듀오웰정 80/5mg,텔미사르탄|로수바스타틴칼슘,K-034681
온글라이자정 2.5mg,삭사글립틴수화물,K-028074
트라젠타듀오정 2.5/500mg,리나글립틴|메트포르민염산염,K-030307
젤로다정 500mg,카페시타빈,K-010158
딜라트렌에스알정 16mg,카르베딜롤과립,K-051326
글리닙정 400mg,이매티닙메실산염,K-031090
옥시크로린정 400mg,히드록시클로로퀸황산염,K-038212
리피로우젯정10/10mg,아토르바스타틴칼슘|에제티미브,K-052957
바라클정 1mg,엔테카비르,K-030957
글루파정 500mg,메트포르민염산염,K-013105
텔미트렌정 80mg,텔미사르탄,K-028813
레비라정 500mg,레비티라세탐,K-030232
코자르탄플러스프로정(비매품),로사르탄칼륨|히드로클로로티아지드,K-023829
클란자CR정(아세클로페낙)(수출용),아세클로페낙,K-027338
모벨록신정 400mg,목시플록사신염산염,K-032104
베아렌정(애엽95%에탄올연조엑스(20→1)),애엽95%에탄올연조엑스,K-035589
테잘바이정 40/5mg,텔미사르탄|암로디핀베실산염,K-040996
가브스메트정 50/1000mg,빌다글립틴|메트포르민염산염,K-023425
렉사프로정 20mg,에스시탈로프람옥살산염,K-026281
펙소나딘정 180mg,펙소페나딘염산염,K-017522
뉴스타틴티에스정 80/5/10mg,텔미사르탄|암로디핀베실산염|로수바스타틴칼슘,K-043935
케토스테릴정,L-리신아세트산염|L-트레오닌|L-트립토판|L-티로신|L-히스티딘|α-케토-DL-이소류신칼슘|α-케토류신칼슘|α-케토발린칼슘|α-케토페닐알라닌칼슘|α-히드록시-DL-메티오닌칼슘,K-012564
삼진메트포르민정(메트포르민염산염),메트포르민염산염,K-035000
에비스타정 60mg,라록시펜염산염,K-011226
자디앙듀오정 12.5/500mg,엠파글리플로진|메트포르민염산염,K-038185
조피린장용정(설파살라진)(수출용),설파살라진,K-007447
액시마정(독소필린),독소필린,K-010747
슈가메트서방정 5/1000mg,메트포르민염산염|에보글립틴타르타르산염,K-038105
토비애즈서방정 4mg,페소테로딘푸마르산염,K-024752
탐스올서방정 0.4mg,탐스로신염산염,K-051540
루칼로정 2mg,프루칼로프라이드숙신산염,K-045402
텔로스톱플러스정 40/5/5mg,텔미사르탄|암로디핀베실산염|로수바스타틴칼슘,K-043812
카듀엣정 5mg/20mg,아토르바스타틴칼슘삼수화물|암로디핀베실산염,K-016235
아프로벨정 300mg,이르베사르탄,K-020379
심발타캡슐 30mg,둘록세틴염산염,K-021930
신바로정,자오가·우슬·방풍·두충·구척·흑두건조엑스,K-033009
로벨리토정 150/20mg,아토르바스타틴칼슘삼수화물|이르베사르탄,K-031917
코스카정 100mg,로사르탄칼륨,K-023357
세프틸정 250mg,세푸록심악세틸,K-009458
아모잘탄정 5/100mg,로사르탄칼륨|암로디핀캄실산염,K-025469
옥사제핀정 300mg,옥스카르바제핀,K-031934
파라마셋정,트라마돌염산염|아세트아미노펜,K-023804
안플라그정 100mg,사르포그렐레이트염산염,K-007749
울트라스크세미정,아세트아미노펜|트라마돌염산염,K-023599
엔트레스토필름코팅정 100mg,사쿠비트릴·발사르탄나트륨염수화물,K-038722
인베가서방정 3mg,팔리페리돈,K-050265
부로멜장용정(브로멜라인),브로멜라인,K-041293
디맥정30000IU/PTP,농축콜레칼시페롤과립,K-041667
명문아트로다캡슐(디아세레인),디아세레인,K-002539
빔스크정 50mg,라코사미드,K-040342
박사르정 4mg,라시디핀,K-025886
가브스메트정 50/500mg,빌다글립틴|메트포르민염산염,K-029972
글루파정 250mg,메트포르민염산염,K-014733
가브스메트정 50/850mg,빌다글립틴|메트포르민염산염,K-023424
코다론정(아미오다론염산염),아미오다론염산염,K-020251
코바로살탄정 160/12.5mg,발사르탄|히드로클로로티아지드,K-028360
유한피라진아미드정 500mg,피라진아미드,K-000465
오로살탄정 10/160mg,발사르탄|암로디핀오로트산염,K-031543
네비로스타정 5/20mg,네비보롤염산염|로수바스타틴칼슘,K-048531
글루코바이정 100mg,아카보즈,K-007820
리피토정 80mg,아토르바스타틴칼슘삼수화물,K-022465
올로스타정 20/10mg,로수바스타틴칼슘|올메사탄메독소밀,K-031428
듀오웰정 40/5mg,텔미사르탄|로수바스타틴칼슘,K-034680
올로스타정 20/20mg,로수바스타틴칼슘|올메사탄메독소밀,K-032577
모니플루정 350mg,모니플루메이트,K-014280
스트라테라캡슐 25mg,아토목세틴염산염,K-019846
리큅피디정 4mg,로피니롤염산염,K-023719
엑스원알정 5/160/10mg,암로디핀베실산염|발사르탄|로수바스타틴칼슘,K-046429
일성이솦틴정 80mg,베라파밀염산염,K-004633
피케이멜즈정(아만타딘황산염),아만타딘황산염,K-002005
엔트레스토필름코팅정 200mg,사쿠비트릴·발사르탄나트륨염수화물,K-038723
레믹실오디티정 30mg,미르타자핀,K-023405
옥시크로린정 300mg,히드록시클로로퀸황산염,K-038262
엑스원알정 5/80/5mg,암로디핀베실산염|발사르탄|로수바스타틴칼슘,K-046427
동아니세틸정(아세틸-L-카르니틴염산염),아세틸-L-카르니틴염산염,K-004489
카멘정 5mg,카르비마졸,K-014729
아크로신정(아세클로페낙),아세클로페낙,K-015257
엑스원에이정 5/160/10mg,암로디핀베실산염|발사르탄|아토르바스타틴칼슘수화물,K-052621
스타레보필름코팅정 125/31.25/200mg,엔타카폰|레보도파|카르비도파수화물,K-026900
쎄로켈서방정 50mg,쿠에티아핀푸마르산염,K-022705
엑스원에이정 5/80/10mg,암로디핀베실산염|발사르탄|아토르바스타틴칼슘수화물,K-052619
글리멜엠정 1/250mg,글리메피리드|메트포르민염산염,K-028864
에나프린정 10mg,에날라프릴말레산염,K-002159
글립타이드정 200mg,설글리코타이드,K-014317
베타록정(메토프롤롤타르타르산염),메토프롤롤타르타르산염,K-000749
트윈스타정 40/5mg,텔미사르탄|암로디핀베실산염,K-027733
씨투스정 50mg,프란루카스트수화물,K-038576
아지탑스정 250mg,아지트로마이신수화물,K-024397
대화로자탄정(로사르탄칼륨),로사르탄칼륨,K-035291
마도파정125,레보도파|염산벤세라짓,K-019860
레복사신정 100mg,레보플록사신수화물,K-012080
제라픽정 100mg,라미부딘,K-028773
테그레톨정 200mg,카르바마제핀,K-013833
리포덱스정 450mg (수출용),리팜피신,K-000818
설포라제캡슐(아세브로필린),아세브로필린,K-007383
환인설트랄린정 50mg,설트랄린염산염,K-037566
리스펜정 2mg,리스페리돈,K-013007
대웅프리미돈정,프리미돈,K-000654
아프로벨정 150mg,이르베사르탄,K-020378
세티정(토피라메이트),토피라메이트,K-018641
미라펙스정 1.0mg,프라미펙솔염산염일수화물,K-016251
동화록소닌정(록소프로펜나트륨수화물),록소프로펜나트륨수화물,K-004119
팜빅스정(팜시클로비르),팜시클로비르,K-014279
로바젯정 10/5mg,로수바스타틴칼슘|에제티미브,K-038460
프리스틱서방정 100mg,데스벤라팍신숙신산염일수화물,K-032606
자이데나정200mg/PTP (수출용),유데나필,K-016554
뉴바스트정 40mg,아토르바스타틴스트론튬오수화물,K-024980
엑스원알정 5/160/5mg,암로디핀베실산염|발사르탄|로수바스타틴칼슘,K-046430
베실살탄정 5/50mg,암로디핀베실산염|로사르탄칼륨,K-036171
대웅바이오록소프로펜정(록소프로펜나트륨수화물),록소프로펜나트륨수화물,K-033353
슈퍼피린캡슐 75/75mg,아스피린|클로피도그렐황산염,K-042835
에토르정10/20mg/Alu-Alu,에제티미브|아토르바스타틴칼슘삼수화물,K-059525
엔트레스토필름코팅정 50mg,사쿠비트릴·발사르탄나트륨염수화물,K-038724
셀트라정 50mg,설트랄린염산염,K-009452
루칼로정 1mg,프루칼로프라이드숙신산염,K-045403
구구탐스캡슐 5mg/PTP,타다라필|탐스로신염산염,K-040609
딜라트렌에스알캡슐 32mg,카르베딜롤과립,K-030064
아모잘탄정 5/50mg,로사르탄칼륨|암로디핀캄실산염,K-025470
피레스코정 400mg,피르페니돈,K-044706
보령부스파정 10mg,부스피론염산염,K-001901
리셀톤캡슐1.5mg(리바스티그민타르타르산염),리바스티그민타르타르산염,K-036798
에스트렌정(애엽95%에탄올연조엑스(20→1)),애엽95%에탄올연조엑스,K-035416
리단정(탄산리튬),탄산리튬,K-000212
아노렉스캡슐 25mg,단트롤렌나트륨수화물,K-008234
썰타목스정 500mg,아목시실린수화물|설박탐피복실,K-010281
아모잘탄플러스정 5/100/25mg,암로디핀캄실산염|클로르탈리돈|로사르탄칼륨,K-041947
렉사프로정 15mg,에스시탈로프람옥살산염,K-029871
베실살탄정 5/100mg,암로디핀베실산염|로사르탄칼륨,K-036170
우루사정 200mg,우르소데옥시콜산,K-002650
아리셉트에비스정 5mg,도네페질염산염,K-023336
비비안트정 20mg,바제독시펜아세테이트,K-029159
엑스포지정 5/160mg,발사르탄|암로디핀베실산염,K-020877
리팜핀정 600mg,리팜피신,K-001027
투베로정60/5밀리그램,피마사르탄칼륨삼수화물과립|로수바스타틴칼슘,K-040333
우루사정 300mg,우루소데옥시콜산,K-022176
포타스틴오디정(비매품),베포타스틴칼슘이수화물,K-027129
리노에바스텔캡슐(비매품),에바스틴구형과립|수도에페드린염산염 과립,K-010293
마이폴틱장용정 180mg,미코페놀레이트나트륨,K-013829
디오반필름코팅정 320mg,발사르탄,K-020834
루키오츄정4밀리그램(몬테루카스트나트륨),몬테루카스트나트륨,K-039135
케이콘틴서방정(염화칼륨),염화칼륨,K-009002
로수암핀정 20/5mg,로수바스타틴칼슘|암로디핀베실산염,K-044529
포슬로정(초산칼슘),초산칼슘,K-006940
큐라실정 125mg,테르비나핀염산염,K-012775
클래리정 250mg,클래리트로마이신,K-007325
테바라모트리진츄어블정 100mg,라모트리진,K-029426
아사콜디알정 400mg,메살라민,K-014251
딜라트렌에스알캡슐 16mg,카르베딜롤과립,K-030063
듀카로정30/5/5밀리그램,피마사르탄칼륨삼수화물과립|암로디핀베실산염|로수바스타틴칼슘,K-049590
악토넬정 35mg,리세드론산나트륨,K-011648
소말겐정(탈니플루메이트),탈니플루메이트,K-001438
아모잘탄큐정 5/50/20mg,암로디핀캄실산염|로수바스타틴칼슘|로사르탄칼륨,K-042045
토파맥스정 100mg,토피라메이트,K-052715
리셀톤캡슐 4.5mg,리바스티그민타르타르산염,K-039048
리넥신서방정,실로스타졸|은행엽건조엑스,K-051005
스타레보필름코팅정 100/25/200mg,엔타카폰|레보도파|카르비도파수화물,K-016223
실로스탄씨알정 200mg,실로스타졸,K-030820
모사프리엠정(모사프리드시트르산염수화물),모사프리드시트르산염수화물,K-048127
