제품명,성분명,코드
클로피정(클로피도그렐황산수소염),클로피도그렐황산수소염,K-016804
베이슨정 0.3mg,보글리보스,K-005091
코자르탄플러스정,로사르탄칼륨|히드로클로로티아지드,K-023779
릭시아나정 30mg,에독사반토실산염수화물,K-037284
싸이메트정 300mg,시메티딘,K-000576
시나롱정 10mg,실니디핀,K-007060
미라펙스정 0.5mg,프라미펙솔염산염일수화물,K-016250
유턴정 16mg,베타히스틴염산염,K-042014
바이토린정 10/20,심바스타틴|에제티미브,K-018188
에스원엠프정 20mg,에스오메프라졸마그네슘삼수화물,K-033208
자이데나정75mg/PTP,유데나필,K-031999
세비카에이치씨티정 5/20/12.5mg,올메사르탄메독소밀|암로디핀베실산염|히드로클로로티아지드,K-030005
환인아캄프로세이트정(아캄프로세이트칼슘),아캄프로세이트칼슘,K-017057
씨판정(수출명:DANCETATab.CERTIPANTab.),세티리진염산염|슈도에페드린염산염,K-013684
엑소페린정(에페리손염산염),에페리손염산염,K-009459
디오반필름코팅정 160mg,발사르탄,K-011253
엔비젯정10/20mg 21.7mg/PTP,에제티미브|아토르바스타틴칼슘삼수화물,K-059585
부광티모닐서방정 300mg,카르바마제핀,K-007143
미니린멜트설하정 120mcg,데스모프레신아세트산염,K-020967
리넥신정,실로스타졸|은행엽건조엑스,K-026818
아레이정 10mg,레프루노미드,K-024057
트리테이스정 5mg,히드록시프로필메틸셀룰로오스로제피한라미프릴과립,K-003708
브릴린타정 60mg,티카그렐러,K-040215
프레미나정 0.625mg,결합형에스트로겐,K-022319
울트라셋이알세미서방정,아세트아미노펜|트라마돌염산염,K-029725
명인벤즈트로핀메실산염정 2mg,벤즈트로핀메실산염,K-001460
보령에바스텔정(에바스틴)(비매품),에바스틴,K-007061
록세미신정(록시트로마이신),록시트로마이신,K-016394
에나폰정 10mg,아미트리프틸린염산염,K-000122
휴온스시메티딘정 200mg,시메티딘,K-015530
브릴린타정 90mg,티카그렐러,K-028641
이소켓서방정 40mg,이소소르비드이질산염,K-013905
가스터디정 20mg,파모티딘,K-011327
셀메텍플러스정 20/12.5mg,올메사르탄메독소밀|히드로클로로티아지드,K-037086
브린텔릭스정 5mg,보티옥세틴브롬화수소산염,K-033876
엔테카벨구강붕해정 0.5mg,엔테카비르,K-035766
뉴스타틴티에스정 40/5/10mg,텔미사르탄|암로디핀베실산염|로수바스타틴칼슘,K-043934
자이로릭정(알로푸리놀),알로푸리놀,K-000115
글리닙정 200mg,이매티닙메실산염,K-031089
뉴바스트정 20mg,아토르바스타틴스트론튬오수화물,K-024979
테넬리아정 20mg,테네리글립틴브롬화수소산염수화물,K-033046
레바트정(레바미피드),레바미피드,K-014224
올멕정 20mg,올메사탄메독소밀,K-028130
명인클로르프로마진염산염정 50mg,클로르프로마진염산염,K-001464
투베로정30/10밀리그램,피마사르탄칼륨삼수화물과립|로수바스타틴칼슘,K-040335
스타레보필름코팅정 50/12.5/200mg,엔타카폰|레보도파|카르비도파수화물,K-016222
오로디핀정(암로디핀오로트산염),암로디핀오로트산염,K-016550
부광메티마졸정,메티마졸,K-000488
휴온스탈니플루메이트정,탈니플루메이트,K-007381
설피딘정 200mg,설피리드,K-007055
스티아론정(티아넵틴나트륨),티아넵틴나트륨,K-028650
에이스타정,레바미피드,K-015759
휴로펜정(록소프로펜나트륨수화물),록소프로펜나트륨수화물,K-015524
자이데나정100mg/PTP,유데나필,K-016555
시알리스정5mg/PTP,타다라필,K-024143
글루코바이정 50mg,아카보즈,K-007821
나제아오디정 0.1mg,라모세트론염산염,K-008501
하이네콜정(베타네콜염화물),베타네콜염화물,K-013020
보령모사프리드시트르산염수화물정,모사프리드시트르산염수화물,K-022604
로바젯정 10/10mg,로수바스타틴칼슘|에제티미브,K-038459
제미글로정 50mg,제미글립틴타르타르산염1.5수화물,K-029760
에빅사정(메만틴염산염)(비매품),메만틴염산염,K-013900
딜라트렌정 25mg,카르베딜롤,K-004478
라믹탈츄어블정 5mg,라모트리진,K-018949
뉴젠팜바클로펜정 10mg,바클로펜,K-007955
바라클정 0.5mg,엔테카비르,K-030936
듀미록스정 50mg,플루복사민말레이트,K-007645
클리마토플란정 25mg/PTP,이그나시아 trituration D3|승마 trituration D2|세피아 trituration D2|생귀나리아 trituration D6,K-023248
미라벡서방정 50mg,미라베그론,K-051116
타모프렉스정 20mg,타목시펜시트르산염,K-004835
투게논정 10/8mg,로수바스타틴칼슘|칸데사르탄실렉세틸,K-041692
리바로정 4mg,피타바스타틴칼슘,K-029667
모푸렌정(모사프리드시트르산염),모사프리드시트르산염,K-020665
세크로정(아세클로페낙)(수출용),아세클로페낙,K-013536
콩브럭정 10mg,비소프롤롤푸마르산염,K-038152
후로목스정 100mg,세프카펜피복실염산염수화물,K-016645
부광켈론정(베탁솔롤염산염),베탁솔롤염산염,K-001715
네비레트정(네비보롤염산염),네비보롤염산염,K-019867
크레로우정 10mg,로수바스타틴칼슘,K-047487
치옥타시드정 200mg,티옥트산,K-007145
온세트론정(염산온단세트론),온단세트론염산염수화물,K-011705
듀오논정 10/5mg,로수바스타틴칼슘|에제티미브,K-037490
레브로콜정(레보드로프로피진),레보드로프로피진,K-023411
사미온정 30mg,니세르골린,K-006129
미드론정(염산미도드린),미도드린염산염,K-004336
프렉스정(바크로펜),바클로펜,K-003102
에피언트정 10mg,프라수그렐염산염,K-027688
트리테이스프로텍트정(라미프릴),히드록시프로필메틸셀룰로오스로제피한라미프릴과립,K-016912
파이콤파필름코팅정 4mg,페람파넬,K-036954
듀카브정60/10밀리그램,피마사르탄칼륨삼수화물과립|암로디핀베실산염,K-039150
피타로우정 2mg,피타바스타틴칼슘,K-028468
씬지로이드정 0.075mg,레보티록신나트륨수화물,K-040339
자이프렉사자이디스확산정 10mg,미세올란자핀,K-018114
카나쿨린정(칼리디노게나제),칼리디노게나제,K-024003
디아미크롱정(글리클라지드),글리클라지드,K-006274
로바젯정 10/20mg,로수바스타틴칼슘|에제티미브,K-038461
명인할로페리돌정 1.5mg,할로페리돌,K-001451
무노발정 5mg,펠로디핀,K-003049
노바스크정 5mg,암로디핀베실산염,K-019861
토파맥스정 25mg,토피라메이트,K-052716
파모콤푸츄정 800mg/PTP,파모티딘|침강탄산칼슘|수산화마그네슘,K-013543
소룡정 500mg/PTP,마황|작약|건강|감초|계지|세신|오미자|반하,K-034110
작감정 500mg/PTP,작약감초탕연조엑스,K-011084
경남비타민씨정 1031mg/PTP,아스코르브산97%과립,K-025854
바이탈씨에프정 515.5mg/PTP,아스코르브산과립97%|리보플라빈부티레이트|피리독신염산염|토코페롤아세테이트 2배산,K-005556
피로펜정 300mg/PTP,아세트아미노펜|클로르족사존,K-012758
타세놀이알서방정(아세트아미노펜),아세트아미노펜,K-011846
유한비타민씨정1000mg/PTP,아스코르브산과립97%,K-010446
크린탈정 500mg/PTP,아세트아미노펜,K-017040
타이레놀정500mg,아세트아미노펜,K-004378
트라몰8시간서방정 650mg,아세트아미노펜,K-006977
글리돈정 350mg/PTP,작약감초탕건조엑스|감초|작약,K-037029
미놀에프트로키 12.5mg/PTP,dl-메틸에페드린염산염|노스카핀|구아야콜설폰산칼륨|세틸피리디늄염화물수화물|DL-메틸에페드린염산염,K-029066
오라비텐정 50mg/PTP,피리독신염산염|d-비오틴|시아노코발라민|토코페롤아세테이트 2배산|폴산|벤포티아민|니코틴산아미드|판토텐산칼슘|산화아연|아스코르브산과립|우르소데옥시콜산|이노시톨|리보플라빈|콜린타르타르산염|셀레늄함유건조효모,K-037446
쿨넥신캡슐 710mg/PTP,금은화|연교|두시|우방자|박하|길경|감초|담죽엽|형개|영양각|이상 건조엑스로서,K-012212
세가톤트로키 1.5mg/PTP,염화세칠피리디늄,K-000372
비타콤비500정 515.46mg,아스코르브산과립|토코페롤아세테이트 2배산|폴산|티아민질산염|리보플라빈|니코틴산아미드|피리독신염산염|시아노코발라민|판토텐산칼슘|황산아연수화물,K-014409
애드칼정,락트산칼슘수화물|글루콘산칼슘수화물|침강탄산칼슘|건조에르고칼시페롤,K-002596
아로나민골드정 72.2mg/PTP (수출용),푸르설티아민|리보플라빈부티레이트|피리독살포스페이트수화물|히드록소코발라민아세트산염|아스코르브산|토코페롤아세테이트 2배산,K-000112
부루펜정 400mg,이부프로펜,K-001029
에페젠정 100mg/병,에페드린염산염|카페인무수물|아세트아미노펜,K-041267
하드칼츄어블정,탄산칼슘|농축콜레칼시페롤과립,K-011845
젤콤정 500mg/PTP,플루벤다졸,K-002160
모가프텐트로키 8.75mg/PTP,플루르비프로펜,K-044108
엘도브론정(에르도스테인),에르도스테인,K-044395
엘뮤코정(에르도스테인),에르도스테인,K-045102
칼디쓰리정,시트르산칼슘수화물|농축콜레칼시페롤,K-042202
아페린씨정 200mg/병,에페드린염산염|카페인무수물|아세트아미노펜,K-032900
아니스펜8시간이알서방정(아세트아미노펜),아세트아미노펜,K-040998
구아내정 10mg/PTP,리보플라빈부티레이트|피리독신염산염|제피아스코르브산|L-시스테인|니코틴산아미드|판토텐산칼슘|비오틴|의이인엑스,K-024584
태극나렉신정(나프록센나트륨)(수출명:NAPRONEWTABLET),나프록센나트륨,K-007843
세토펜이알서방정500정,아세트아미노펜,K-011613
이부페노정 200mg/PTP,감초|육계|작약|생강|이부프로펜,K-043689
펜잘이알서방정(아세트아미노펜),아세트아미노펜,K-032083
타이레놀이알서방정(아세트아미노펜)(수출용),아세트아미노펜,K-005886
칼디쓰리플러스정,시트르산칼슘수화물|농축콜레칼시페롤,K-043499
슈메디펜8시간이알서방정650mg,아세트아미노펜,K-045103
클록펜정 300mg/PTP,아세트아미노펜|클로르족사존,K-013470
화이투벤씨플러스캡슐 200mg/PTP,아세트아미노펜|클로르페니라민말레산염|dl-메틸에페드린염산염|클로페라스틴염산염|카페인무수물|티아민질산염|리보플라빈|아스코르브산,K-030518
샤이닝정 500mg/PTP,아세트아미노펜|부틸스코폴라민브롬화물,K-008868
리렉스펜정 300mg/PTP,아세트아미노펜|클로르족사존,K-012081
암씨롱큐정 300mg/PTP,아세트아미노펜|에텐자미드,K-026093
요신정 416.7mg/PTP,지황|당귀|목통|황금|택사|차전자|감초|치자|용담|육계|생강|대황|마황|연교,K-044458
